Part number,Part name,Additional name,Location,Total balance,Unit,WH,Serial number
1016572,Cylinder axle EC204,,FLOOR,2.00,Pcs,WH1,
1016576,Tilt axle EC204,-Info: Will be replaced by 1074348,FLOOR,2.00,Pcs,WH1,
1016582,Connection block EC206 for Slip ring,-Info: if replacement for 1024966( connection block NOT for slip ring) the swivel guide also needs to be exchanged to 1016581.,FLOOR,1.00,Pcs,WH1,
1017112,Piston rod-tilt cylinder-EC226-80/45,-Info: Tilt cylinder 1017259,FLOOR,2.00,Pcs,WH1,
1017114,Top nut 80/45-EC219/EC226,,FLOOR,1.00,Pcs,WH1,
1017151,"Yoke Bracket EC10-20, EC219-226, EC319-326 cast grease-free","-Info: Uses MC6S 16x100
-Info: Used on: EC10B from 2012-10-29, M49694 --> EC15B from 2013-03-05, M50470 --> EC20B from 2013-03-07, M51090 -->
EC219 from 2012-06-19, M48421 -->
EC26 from 2012-03-12, M47426 -->
EC226 from 2012-03-20, M47546 -->",FLOOR,4.00,Pcs,WH1,
1017478,Adapter cable JT 2P-DT 2S,,FLOOR,2.00,Pcs,WH1,
1018662,Jumper JT 2P POS:1-2,-Info: White from rev.A,FLOOR,6.00,Pcs,WH1,
1019652,Piston rod-tilt cylinder-EC209-63/32,"-Info: Tilt cylinders 1019630, 1041412",FLOOR,2.00,Pcs,WH1,
1019766,Bucket GB03-150-1100-S40,,FLOOR,0.00,Pcs,WH1,
1019884,Tilt cylinder EC226 ( cast waist ),"-Info: Overcenter function can be plugged/bypassed
-Info: Replaces 1017259
-Info: Replaced by 1072285 in production",FLOOR,2.00,Pcs,WH1,
1019894,Piston rod-tilt cylinder-EC219-80/45,-Info: Tilt cylinder 1017501,FLOOR,2.00,Pcs,WH1,
1020497,Bucket GB05-250-1200-S40,,FLOOR,1.00,Pcs,WH1,EC086856
1020497,Bucket GB05-250-1200-S40,,FLOOR,1.00,Pcs,WH1,EC086857
1020497,Bucket GB05-250-1200-S40,,FLOOR,1.00,Pcs,WH1,EC086858
1020539,Cylindrical pin CPK Ø10x24 m6,,FLOOR,4.00,Pcs,WH1,
1021468,"Screw cover M10 - clamping half EC206,209,214",,FLOOR,15.00,Pcs,WH1,
1022288,Hydraulic motor White 200cc,"-Info: EC226/EC30 & relief valve.
-Info: 7001807 and 7001647 are sold as loose spare parts.",FLOOR,2.00,Pcs,WH1,
1022290,Hydraulic motor White 160cc,"-Info: EC219/EC20B as of 2012-05 & chock valve 
-Info: without chockvalve=720134. 20B:can't use with motorcover bef. 2012-05.  Larger waist diameter & thicker flange.   replacement on EC20 between 2004-11-- 2012-05: requires screws 610474 M12x30 & distance
-Info: Seal kit 1005898
-Info: 7001647 and 7001806 are sold as loose spare parts.",FLOOR,3.00,Pcs,WH1,
1022912,Cylindrical pin CPK Ø8x45 m6,,FLOOR,4.00,Pcs,WH1,
1022942,"Clamping half EC206,209,214 EngconYellow complete",,FLOOR,2.00,Pcs,WH1,
1022974K,"Grab guard 10-complete-GR10= right , GRD45/50= left",-Info: Replaces 301884K,FLOOR,2.00,Pcs,WH1,
1022975K,"Grab guard 10-complete-GR10= left , GRD45/50= right",-Info: Replaces 301885K,FLOOR,2.00,Pcs,WH1,
1023190,Piston rod-tilt cylinder-EC206-63/32,-Info: Tilt cylinder 1023189,FLOOR,2.00,Pcs,WH1,
1023212,"Yoke Bracket tilt cylinder EC209, EC214 cast grease-free",,FLOOR,4.00,Pcs,WH1,
1023292,"Plate break support - EC226/EC326, EC233/EC333",-Info: Yellow pacified,FLOOR,2.00,Pcs,WH1,
1023344,"Shim break support - EC226, EC233 - 0,1mm",,FLOOR,6.00,Pcs,WH1,
1023447,"Shim break support - EC226, EC233 - 0,3mm",,FLOOR,6.00,Pcs,WH1,
1023777,Spacer Hose Bracket 20mm,,FLOOR,4.00,Pcs,WH1,
1023823,Yoke Bracket EC206/206B rear complete cast,,FLOOR,1.00,Pcs,WH1,
1023824,Yoke Bracket EC206/206B front complete cast,,FLOOR,1.00,Pcs,WH1,
1023852,Special tool-Service kit-EC209-226,"-Info: Documentation 9000257 
-Info: Delivered with 1023930",FLOOR,1.00,Pcs,WH1,
1023885,Mounting plate-UNI-ILME-connector & feeder,,FLOOR,2.00,Pcs,WH1,
1023967,Top nut-Locking cylinder-QS60 (1027595),-Info: Locking cylinder 1027595,FLOOR,1.00,Pcs,WH1,
1024020,Spring - Locking cylinder S40S (16x104),,FLOOR,4.00,Pcs,WH1,
1024021,Spring S45/S60/QS45/50/60 locking hook-long (25x305),-Info: Also fits QSM45/50/60,FLOOR,4.00,Pcs,WH1,
1024022,Spring S60/QSM60/QS60 locking hook - short (25x64),,FLOOR,4.00,Pcs,WH1,
1024112,"Piston sealing KPOR130 12x7,1x2,2",-Info: Includes both seal ring and O-ring,FLOOR,2.00,Pcs,WH1,
1024115,"O-ring 3,69x1,78 NBR 90 shore",,FLOOR,20.00,Pcs,WH1,
1024189,Piston rod-tilt cylinder-EC214-63/32,-Info: Tilt cylinders 10241861 1041414,FLOOR,2.00,Pcs,WH1,
1024291,Bucket GB15-750-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086867
1024291,Bucket GB15-750-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086868
1024291,Bucket GB15-750-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086869
1024291,Bucket GB15-750-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086870
1024688,Locking yoke S40,"-Info: EC02,EC05B,EC206,RF. For mechanical lock use 1003559",FLOOR,2.00,Pcs,WH1,
1024690,Lock set S40 EC02/EC204/EC05B/EC206/RF,-Info: New yoke without welding,FLOOR,2.00,Pcs,WH1,
1024695,Steering S70/QS70-80,-Info: Delivered with instruction 9000444,FLOOR,4.00,Pcs,WH1,
1024735,"O-ring 21,95x1,78 PU/90 - ECO70 3/4""",,FLOOR,20.00,Pcs,WH1,
1024794,Spring - 18x35 - Top ECO45-80,,FLOOR,8.00,Pcs,WH1,
1025177,Spring QS70 Ejectors - long (20x120),,FLOOR,4.00,Pcs,WH1,
1025178,Spring QSM70/QS70/S70 locking hook - short (32x152),,FLOOR,4.00,Pcs,WH1,
1025179,Spring QSM70/QS70/S70 locking hook - long (32x305),,FLOOR,4.00,Pcs,WH1,
1025483,Spring S40S/S40/S45/QS40/45/50 locking hook - short (25x32),"-Info: Also fits QSM40, QSM45 and QSM50",FLOOR,4.00,Pcs,WH1,
1025563,Attachment grab guard & extra GR05 - EC204/EC206,,FLOOR,2.00,Pcs,WH1,
1025621,Steering S45/S60/QSM45/50/60/QS45/50/60,-Info: Delivered with instruction 9000444,FLOOR,6.00,Pcs,WH1,
1025857,Spring QS70 Ejectors short - (20x85),,FLOOR,4.00,Pcs,WH1,
1025951,Decal kit - EC209,,FLOOR,1.00,Pcs,WH1,
