item_no,description,price_jpy
710240,Adapter bulkhead 1260-04-04,1200
710242,Adapter bulkhead 1260-06-32,1700
710244,Adapter bulkhead 1260-08-08,2000
1035715,Adapter bulkhead 1260-08-58,5600
712210,Adapter bulkhead 1260-12-12,2800
7000847,Adapter bulkhead 1264-04-04,5600
1038197,"Adapter bulkhead 3/8""-1/4"" QSD",5100
710261,Adapter bulkhead extended 1260-04-40,2200
710262,Adapter bulkhead extended 1260-06-43,3200
710263,Adapter bulkhead extended 1260-08-45,3100
712227,Adapter bulkhead extended 1260-12-57,3700
841191,Adapter cable AMPS 35S-2xDT 2S/SQR 4S/M12 4S/Term,79800
841108,Adapter cable AMPS 35S-2xJT 2S/SQR 4S/M12 4S/Term,82600
8000407,Adapter cable AMPS 35S-JT 2S/DT 2P/M12 4S,33200
841107,Adapter cable AMPS 35S-JT 2S/M12 4S/Term,57100
841147,Adapter cable AMPS 35S-M12 4S/Term,52300
841830,Adapter cable AMPS 35S-SQR 4S/M12 4S/Term,41500
841148,Adapter cable AMPS Sock x2-JT 2S,27000
841149,Adapter cable AMPS Sock x2-M12 5S,22200
841150,Adapter cable AMPS Sock x2-SQR 4S,22200
841184,Adapter cable AMPS Sock x2-Wires,11000
841138,Adapter cable AMPS Sock x4-2xDT 2S,25000
842058,Adapter cable AMPS Sock x4-2xJT 2S,12300
841879,Adapter cable AMPS Sock x4-DT 4S,37500
8000605,Adapter cable AMPS Sock x8-3xJT 2S/DT 3S,31800
8000290,"Adapter cable AMPS Sock x8-3xJT 2S/M12 5S-3,95/4m",33300
8001404,"Adapter cable AMPS Sock x8-3xJT 2S/M12 5S-4/4,7m",36900
1035784,Adapter cable AMPS Sock x8-3xSQR 4S/M12 5S,34100
8000097,Adapter cable AMPS Sock x8-4xJT 2S,34600
8002035,Adapter cable CMC 48S-6xDT,61900
841135,Adapter cable DSUB 25P-FCI 16P/M12 5S/USB A,66200
8001362,Adapter cable DSUB 25P-FCI 16P/USB A-1m,22400
8001363,"Adapter cable DSUB 25P-FCI 16P/USB-A-1,2m",22700
841116,Adapter cable DSUB 25S-2xFCI 16P-1m,56000
8000690,"Adapter cable DSUB 25S-2xFCI 16P-2,2/0,9m",59600
841190,"Adapter cable DSUB 25S-2xFCI 16P-2,5m",60800
1016990,Adapter cable DT 12P-5xJT 2S,37800
1018350,Adapter cable DT 12P-DT 4S DC2,37000
8001976,Adapter cable DT 12P-DT 4S DC3,21000
1000609,Adapter cable DT 2P/6P-DT6S/4S-Joint,52300
1008557,Adapter cable DT 2P-SQR 4S,9900
8001095,Adapter cable DT 2S-2xDT Sock,12800
8002246,Adapter cable DT 2S-Wires,8600
8002506,Adapter cable DT 4P-2xDT 2S,20400
8002042,"Adapter cable DT 4P-2xJT 2S-0,3m",9300
8002036,Adapter cable DT 4P-2xJT 2S-3m,15700
8001005,Adapter cable DT 4P-4xFCI Sock,8500
1057843,Adapter cable DT 4P-DT 2S,13400
8001940,Adapter cable DT 4P-ILME 12S,27800
8001891,Adapter cable DT 4P-M12 5S-DC3,11900
8001276,Adapter cable DT 4P-M12 5S-GP,20500
8001604,Adapter cable DT 4S-FCI 16S,7400
1017230,Adapter cable DT 6P/4P-DT 6S/4S-Joint,47700
8000585,Adapter cable DT Sock x4-M12 5S-5m,23600
8001286,Adapter cable DTM 12P x2-4xDT 4S/2S-Menzi Muck,50000
1029599,Adapter cable DTM 12P-DT 2S/4xJT 2S,34600
1048529,Adapter cable DTM 12P-DT 4S/2S,28400
1029593,Adapter cable DTM 12P-DT 4S-ECO W DC2,33500
1042249,Adapter cable DTM 12P-DT 4S-ECO W DC3,23600
1037919,Adapter cable DTM 12P-DT 6S-MACS ECO,22400
1043277,Adapter cable DTM 12P-DT 6S-MACS ECO W,19600
1047114,Adapter cable DTM 12P-M12 5S-3rd PTY,16500
8001373,Adapter cable DTM 2P/4P/6P-3xDT 2S/DTM 6S-Joint,29200
8001182,Adapter cable DTM 2P/DT 6P/4P-DT 6S/4S-Joint,32400
8002497,Adapter cable DTM 2P-DT 2S-Joint,10500
1032718,Adapter cable DTM 4P/2P-3xDT 2S-Joint,32600
8002816,Adapter cable DTM 4P-2xDT 2S-Joint,22700
1042250,Adapter cable DTM 6P-JT 2S-ECO DTM 1 & 6 Connected,12500
1041162,Adapter cable DTM 6P-JT 2S-ECO DTM 5 & 6 Connected,35000
8002459,Adapter cable DTM 6P-M12 5S,12300
8001263,Adapter cable FCI 16P-2xFCI 16S,23900
8001356,Adapter cable FCI 16S-2xMinif 4P/Minif 2S/DTM 2S,19300
8000240,Adapter cable FCI Sock x2-M12 5P,15700
842174,Adapter cable FCI Sock x2-M12 5S,10800
8001533,"Adapter cable FCI Sock x2-Wires-2,5m",2600
841180,Adapter cable FCI Sock x2-Wires-2m,5600
1017478,Adapter cable JT 2P-DT 2S,9900
302971,Adapter cable JT 2P-SQR 4S,9900
8001989,Adapter cable JT 2S-DT 2P,9900
1044790,Adapter cable Lock valve-ECO W-DC2-QSC DTM-DT,11100
8000555,Adapter cable M12 - DT06-3S,14400
8002559,Adapter cable M12 4S-M12 5P-Leica,16400
8001983,Adapter cable M12 5P-AMPS16 12S,12200
8001894,Adapter cable M12 5P-M8 4S,4500
8001045,Adapter cable M12 5S-DT 3P/Term,17400
8001247,Adapter cable M12 5S-DTM 2P,11700
1048530,Adapter cable M12 5S-DTM 6P/Pin-3rd PTY,17900
1047115,Adapter cable M12 5S-JT 2S/3xDTM Pins-3rd PTY,22700
8002009,Adapter cable M12 5S-M12 4P-Leica,19600
8002715,Adapter cable M12 5S-Wires,5900
842150,Adapter cable M12 8P x2-2xDTM 3S/DTM 6S-QLM,70800
842149,"Adapter cable M12 8P-2xDTM 3S-QLM 4,5m",41700
8002139,Adapter cable M12 8P-2xM12 5S,17600
8002581,Adapter cable M12 8P-2xM8 3S-QLM,29000
8000863,"Adapter cable M12 8P-DTM 3S-QLM 3,4m",25900
842148,Adapter cable M12 8P-DTM 6S,41700
8001582,Adapter cable M12 8P-Souriau 8S,50000
8002966,"Adapter Cable M8 4S-M12 5S CAN-Only 0,5m",14700
8000680,Adapter cable MAP Atlas AMPS-DT/SQR/M12,36600
841179,Adapter cable MAP CAT FCI-4xDT Pins/Wires,26700
8001226,Adapter cable MAP CAT NG AMPS16-DT/JT/M12,39800
8001982,Adapter cable MAP CAT NG TYCO-M12,36600
8001882,Adapter cable MAP Develon DT-2xM12-eML,41000
8000775,Adapter cable MAP Doosan HDP-2xDT/JT/SQR/M12,99700
8000778,Adapter cable MAP Doosan HDP-9xJT/2xDT,152900
8001114,Adapter cable MAP Hydrema DTM-2xCT,29800
8001283,Adapter cable MAP Kaiser FCI/DTM-2xJST/CviL,25000
8000467,Adapter cable MAP Kobelco AMPS Sock x4-Econo,14800
8000606,Adapter cable MAP Kobelco DT-SQR/M12,31800
8001050,Adapter cable MAP kobelco Econo-2xEcono,27500
8000324,Adapter cable MAP Komatsu FCI Sock x4-DTM,11400
8001560,Adapter cable MAP Komatsu Yazaki-DT,14200
8000651,Adapter cable MAP Liebherr DT-2xJT/SQR/M12-5m,57700
8000628,Adapter cable MAP Liebherr DT-4xJT/SQR/M12-1m,50500
8002209,Adapter cable MAP Takeuchi Econo-DT/M12,23500
8001277,Adapter cable MAP Various DT-DT-GP,34600
8001271,Adapter cable MAP Volvo DT-DT-AGW,42100
8001943,Adapter cable MAP Volvo DT-DT-eML,21000
8000267,Adapter cable MAP Volvo FCI Socket-DT Socket,14400
842004,Adapter cable MAP Volvo FCI-Pull-up/Econo Pins+Sock,32400
8001993,Adapter cable MAP Volvo ITT-DT,52200
8001006,Adapter cable Minif 2S-DT 2S,5400
8000101,Adapter cable Minif 2S-Term,6500
8000102,Adapter cable Minif 4S-2xJT 2S,12000
8001545,Adapter cable Minif 4S-4xDT Pins,4500
8000313,Adapter cable Minif 4S-DSUB 25S,9900
8000314,Adapter cable Minif 4S-M12 5S-1m,12500
8000099,Adapter cable Minif 4S-M12 5S-5m,25300
8001120,Adapter cable Minif 4S-M12 5S-6m,19600
8001816,"Adapter cable Minif 4S-Wires-0,5m",2900
8001459,"Adapter cable Minif 4S-Wires-1,7m",3700
8000315,Adapter cable Minif 4S-Wires-1m,6800
8000100,Adapter cable Minif 8S-2xDT 2S/JT 2S/M12 5S,27500
8000279,Adapter cable Minif 8S-JT 2S,9400
8001216,Adapter cable Minif Sock x2-JT 2S,9000
8001551,Adapter cable Minif Socket-Wire,3400
8002809,Adapter cable RT06128PNH 8P-2xM12/DT-MiC4,59400
8001235,Adapter cable Souriau 8P-5xJT 2S,51100
8001581,Adapter cable Souriau 8P-DTM 6S,45200
8001067,Adapter cable Souriau 8S-M12 5S,58600
8002582,Adapter cable Sseal 26S-2xDTM 12S/2x6S-Key2,55400
8001968,Adapter cable USB A-M12 5P-B code,13700
810491,Adapter cable-DF right down 4-button with rocker HECR,22800
1053935,Adapter CAT NG-MIG2,38100
7001720,"Adapter coupling 90° R1/8""",2500
7001721,"Adapter coupling straight R1/8""",900
401985,Adapter cover Verachtert,6600
710510,Adapter DSVW-15 LR HFX banjo,12500
1049234,"Adapter extra Bolted GRD 1/2""-1/4"" 305mm QSM70-steel",28700
1063847,"Adapter extra Bolted GRD 1/4""-1/4"" QSM40/CW10",24400
1057118,"Adapter extra Bolted GRD 3/8""-1/4"" 182mm QSM45-steel",17600
1050319,"Adapter extra Bolted GRD 3/8""-1/4"" 202mm QSM60-steel",15300
8001231,Adapter Hydrema-MIG2,7700
7001219,Adapter JIC 061230-04-04,3900
7001220,Adapter JIC 061230-06-06,3700
7001221,Adapter JIC 066010-04-04,1300
7001222,Adapter JIC 066010-06-04,1300
7000881,Adapter JIC 066010-06-06,1400
7000980,Adapter JIC 066010-08-08,2000
7001229,Adapter JIC 066020-04-04,2700
7001524,Adapter JIC 066240-06-04 Test port,14000
7001223,Adapter JIC 066240-08-04 Test port,14000
7001224,Adapter JIC 066240-10-04 Test port,14400
7001225,Adapter JIC 066240-12-04 Test port,15900
7001226,Adapter JIC 066240-16-04 Test port,27000
7001472,Adapter JIC 61130-04-04,2700
7001473,Adapter JIC 61130-05-05,3000
7001474,Adapter JIC 61130-06-06,3400
7001475,Adapter JIC 61130-08-08,4300
7001476,Adapter JIC 61130-12-12,7700
7001522,Adapter JIC/BSP 066310-04-04 Test port,3200
7001523,Adapter JIC/BSP 066310-06-04,3400
1055018,Adapter kit US - QSC - BSPP,91500
1069250,Adapter kit-2PY/QSC Deere 30-35G,51100
1069251,Adapter kit-2PY/QSC Deere 50-60G,51100
7000607,Adapter kit-BSP - 10L,3200
7000211,"Adapter kit-connection block 1"" / 1,5""",8000
7001446,"Adapter kit-connection block 1""-3/4""",9700
7001445,"Adapter kit-connection block 1/2""-3/4""",8600
7001375,Adapter kit-Pressure Sensor,10800
7001756,Adapter kit-Pressure Sensor,6900
7001322,Adapter kit-Pressure Sensor - BSP 1/4,5400
7001343,Adapter kit-Pressure Sensor - CAT NG 301-310,8000
7000916,Adapter kit-Pressure Sensor - ORFS-BSP - Cylinder,12000
7001309,"Adapter L 1/8"" 1x ext / 2x int lubrication",3200
7001852,Adapter M12x1 1/8'' BSP,1200
7000532,Adapter ORFS 067001-04-02,1500
7000236,Adapter ORFS 067001-04-04,1400
7001320,Adapter ORFS 067001-04-08,3200
7000676,Adapter ORFS 067001-06-04,1400
7000235,Adapter ORFS 067001-06-08,1400
7000255,Adapter ORFS 067001-08-08,1500
7001040,Adapter ORFS 067001-12-12,3100
7001371,Adapter ORFS 067001-12-16,3700
711706,Adapter ORFS 067002-04-04,1400
711707,"Adapter ORFS 067002-06-04 -BSP 11/16""-1/4""",1500
7001498,Adapter ORFS 067002-06-06,1500
7000640,Adapter ORFS 067002-08-08,2300
7001372,Adapter ORFS 067002-16-16,3200
7002020,Adapter ORFS 067005-04-02,2700
7000247,Adapter ORFS 067005-04-04,4000
7000963,Adapter ORFS 067005-06-04,4000
7001685,Adapter ORFS 067005-06-06,3400
7001675,Adapter ORFS 067005-16-12,8300
7001329,Adapter ORFS 067008-04-04,7700
7000317,Adapter ORFS 067012-08-08,11400
7001181,Adapter ORFS 067012-12-12,18200
7001903,Adapter ORFS 067012-16-16,17100
7001621,Adapter ORFS 067013-06-06,3700
7000286,Adapter ORFS 067014-04-04,3400
7001066,Adapter ORFS 067014-06-06,4500
7000240,Adapter ORFS 067014-08-08,3500
7000265,Adapter ORFS 067014-10-10,5400
7001298,Adapter ORFS 067015-04-04,4800
7000242,Adapter ORFS 067016-04-04,4000
7000244,Adapter ORFS 067016-06-06,5600
7000237,Adapter ORFS 067016-08-08,6800
7001817,Adapter ORFS 067016-10-10,8300
7001409,Adapter ORFS 067016-12-12,15700
7001410,Adapter ORFS 067016-16-16,13400
7001374,Adapter ORFS 067018-08-08,6800
7001141,Adapter ORFS 067021-08-18,2200
7000241,Adapter ORFS 067031-04-00,1000
7001067,Adapter ORFS 067039-08-06,3700
7001068,Adapter ORFS 067039-10-08,2800
7001069,Adapter ORFS 067039-12-06,4600
7001070,Adapter ORFS 067039-12-08,4600
7000862,Adapter ORFS 067041-04-04,1400
7000863,Adapter ORFS 067041-04-06,1400
7000677,Adapter ORFS 067041-06-06,1400
7000864,Adapter ORFS 067041-06-08,1800
7000923,Adapter ORFS 067041-06-10,3100
7000868,Adapter ORFS 067041-12-16,3500
7000960,Adapter ORFS 067053-04-04,3200
7000682,Adapter ORFS 067058-04-04 Test port,13700
7000853,Adapter ORFS 067058-06-04 Test port,15100
7000854,Adapter ORFS 067058-08-04 Test port,16700
7000685,Adapter ORFS 067058-10-04 Test port,16700
7000855,Adapter ORFS 067058-12-04 Test port,22700
7000687,Adapter ORFS 067058-16-04 Test port,27600
7000989,Adapter ORFS 067058-20-04 Test port,33200
7001041,Adapter ORFS 067060-04-04,1300
7001042,Adapter ORFS 067060-06-06,2100
1065228,"Adapter pipe extra 1/2"" QSM40",1700
7000147,Adapter plate NG10-NG6,64200
730158,Adapter plate NG6-NG4,31800
7001584,Adapter RI 1/8 -edx1/4 ZnNi,1800
403909,Adapter ring PP950,41000
7000735,"Adapter straight JIS-BSP 1/4""",3900
1053175,"Adapter tube extra 1/2"" QSM45/50",17100
1045926,"Adapter tube extra 1/2"" QSM60 steel",15600
1057150,"Adapter tube extra 1/2"" QSM70 182mm",22100
1050650,"Adapter tube extra 1/2""-1/2"" QSM70-steel",22100
1056533,"Adapter tube extra 1/4""-M18 QSM40",8000
1058386,"Adapter tube extra 3/8"" QSM40/CW05GP/HYDS",8200
1053288,"Adapter tube extra 3/8"" QSM45/50/CW10",15000
1045927,"Adapter tube extra 3/8"" QSM60-steel",13300
1071216,Adapter tube-lock long S45/S60/S70/S80,7100
1071217,Adapter tube-lock short S40/S45/S60/S70/S80,5900
7000947,Adapter XGE 25-SR-ED,5100
7000518,Adapter XRED 25/16 S,8800
1005812K,Adapter yoke EC10/EC15 complete,36300
1005811K,Adapter yoke EC20 complete,37000
1023907,Adapter yoke kit-EC10/EC15 complete,172800
1008958,Adapter yoke kit-EC20 complete,163600
